000001ERIKA ROCHA                   00010000000
000004JOANA SILVA                   00015000000
000007JULIA SANTOS                  00030000000
000010ANA PAULA                     00040000000
000013VICTOR OLIVEIRA               00027500000
000016LUANA MENEZES                 00022000000
000019ANDRÉ LOPES                   0003100000
000022GABRIEL TEIXEIRA              00017000000
000025SANDRA SOARES                 00024000000
000028IGOR NASCIMENTO               00033000000
000031ALINE ROCHA                   00021000000
000034LUCAS BRAGA                   00034000000
000037DANIELA FREITAS               00015000000
000040ANTONIO CARDOSO               00029000000
000043CLARA REZENDE                 00018500000
000046SERGIO QUEIROZ                00032000000
000049PATRICIA LOPES                00023500000
000052EVANDRO CORREA                00016000000
000055RENATA DIAS                   00031000000
000058ELIANA SOUZA                  00025000000
