01000001ERIKA ROCHA                   00010000000
02000002PEDRO MANSE                   00010000000
02000003MATHEUS GAMELEIRA             00020000000
01000004JOANA SILVA                   00015000000
02000005CARLOS PEREIRA                00025000000
02000006MARCOS LIMA                   00018000000
01000007JULIA SANTOS                  00030000000
02000008RENATO SOUZA                  00021000000
02000009FERNANDA ALVES                00017500000
01000010ANA PAULA                     00040000000
02000011RODRIGO FERREIRA              00012500000
02000012TATIANA MOURA                 00032000000
01000013VICTOR OLIVEIRA               00027500000
02000014CAROLINA GOMES                00015000000
02000015RICARDO MARTINS               00019000000
01000016LUANA MENEZES                 00022000000
02000017DIEGO BARROS                  00028000000
02000018MARINA CASTRO                 00013000000
01000019ANDRÉ LOPES                   00031000000
02000020MARIANA PINTO                 00026000000
02000021PAULO VIEIRA                  00020000000
01000022GABRIEL TEIXEIRA              00017000000
02000023PRISCILA RAMOS                00014500000
02000024RAFAEL COSTA                  00035000000
01000025SANDRA SOARES                 00024000000
02000026FELIPE DUARTE                 00018000000
02000027CAMILA AZEVEDO                00029000000
01000028IGOR NASCIMENTO               00033000000
02000029BEATRIZ MORAES                00019500000
02000030HENRIQUE FONSECA              00027500000
01000031ALINE ROCHA                   00021000000
02000032BRUNO ALMEIDA                 00023000000
02000033MONICA VASCONCELOS            00012500000
01000034LUCAS BRAGA                   00034000000
02000035ISABELA BATISTA               00028500000
02000036GUSTAVO LOPES                 00031000000
01000037DANIELA FREITAS               00015000000
02000038CAIO TAVARES                  00024000000
02000039MELISSA FARIAS                00026000000
01000040ANTONIO CARDOSO               00029000000
02000041FABIANA MELO                  00017000000
02000042ROBERTO GUIMARÃES             00022500000
01000043CLARA REZENDE                 00018500000
02000044MAURICIO ARAUJO               00027500000
02000045NATHALIA PRADO                00019500000
01000046SERGIO QUEIROZ                00032000000
02000047LAURA BORGES                  00021000000
02000048TIAGO XAVIER                  00030000000
01000049PATRICIA LOPES                00023500000
02000050WAGNER PACHECO                00028000000
02000051VANESSA BARBOSA               00035000000
01000052EVANDRO CORREA                00016000000
02000053MAYARA OLIVEIRA               00020000000
02000054SAMUEL FIGUEIREDO             00027000000
01000055RENATA DIAS                   00031000000
02000056LEONARDO FRANCO               00019000000
02000057SUELEN MENDES                 00022000000
01000058ELIANA SOUZA                  00025000000
02000059CAUE SANTANA                  00026000000
02000060FELICIANO ARAUJO              00077777777
